RIDE_DATE,METRIC_FAMILY,METRIC_NAME,COUNTRY,CITY_BUCKET,RIDES_DENOM,RIDES_FLAGGED,PCT,COMPUTED_AT,AMOUNT_VALUE,AVG_VALUE
2026-08-27,GATE,gate5_segment_direction:promoeng_capped,SA,Total,1591,1,39.85,2026-09-07 09:14:54.546 +0300,40,0
2026-08-27,GATE,gate5_segment_direction:promoeng_pct_bound,SA,Total,1874,1,36.18,2026-09-07 09:14:54.546 +0300,37,0
2026-08-27,GATE,gate5_segment_direction:voucher_capped,SA,Total,2979,1,36.99,2026-09-07 09:14:54.546 +0300,37,0
2026-08-27,GATE,gate5_segment_direction:voucher_pct_bound,SA,Total,2053,1,30.74,2026-09-07 09:14:54.546 +0300,30,0
2026-08-27,SCENARIO,beyondB,SA,DMM,7634,3,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,beyondB,SA,JED,35533,8,0.02,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,beyondB,SA,MAD,10274,4,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,beyondB,SA,MEC,5226,2,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,beyondB,SA,Others,14355,10,0.07,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,beyondB,SA,RUH,50042,26,0.05,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,beyondB,SA,Total,123064,53,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,DMM,7634,1308,17.13,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,JED,35533,6757,19.02,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,MAD,10274,1815,17.67,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,MEC,5226,1126,21.55,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,Others,14355,2577,17.95,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,RUH,50042,9028,18.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_at_dest,SA,Total,123064,22611,18.37,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,DMM,7634,221,2.89,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,JED,35533,730,2.05,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,MAD,10274,384,3.74,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,MEC,5226,158,3.02,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,Others,14355,513,3.57,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,RUH,50042,1206,2.41,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinA_not_dest,SA,Total,123064,3212,2.61,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,DMM,7634,971,12.72,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,JED,35533,4931,13.88,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,MAD,10274,974,9.48,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,MEC,5226,662,12.67,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,Others,14355,1515,10.55,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,RUH,50042,4526,9.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_at_dest,SA,Total,123064,13579,11.03,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,DMM,7634,291,3.81,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,JED,35533,1097,3.09,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,MAD,10274,415,4.04,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,MEC,5226,225,4.31,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,Others,14355,784,5.46,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,RUH,50042,1664,3.33,2026-09-07 09:14:54.546 +0300,,
2026-08-27,SCENARIO,withinB_not_dest,SA,Total,123064,4476,3.64,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,beyondB,JO,Total,12495,28,0.22,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,previous_wallet_balance,JO,Total,12495,649,5.19,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,surcharge_mismatch,JO,Total,12495,16,0.13,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,waiting_time,JO,Total,12495,5784,46.29,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,withinA_at_dest,JO,Total,12495,692,5.54,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,withinA_not_dest,JO,Total,12495,1754,14.04,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,withinB_at_dest,JO,Total,12495,2174,17.40,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CAUSE_MIX,withinB_not_dest,JO,Total,12495,1398,11.19,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,cumulative_price_shocks_net,JO,AMM,32762,7056,21.54,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,cumulative_price_shocks_net,JO,IRB,6544,1844,28.18,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,cumulative_price_shocks_net,JO,Others,1232,333,27.03,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,cumulative_price_shocks_net,JO,Total,51892,11845,22.83,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,cumulative_price_shocks_net,JO,ZRQ,11354,2612,23.01,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pd_mismatch,JO,AMM,32762,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pd_mismatch,JO,IRB,6544,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pd_mismatch,JO,Others,1232,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pd_mismatch,JO,Total,51892,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pd_mismatch,JO,ZRQ,11354,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pickup_mismatch,JO,AMM,32762,1,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pickup_mismatch,JO,IRB,6544,1,0.02,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pickup_mismatch,JO,Others,1232,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pickup_mismatch,JO,Total,51892,2,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,pickup_mismatch,JO,ZRQ,11354,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,residual_fare_increase_net,JO,AMM,32762,3421,10.44,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,residual_fare_increase_net,JO,IRB,6544,1259,19.24,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,residual_fare_increase_net,JO,Others,1232,196,15.91,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,residual_fare_increase_net,JO,Total,51892,6318,12.18,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,residual_fare_increase_net,JO,ZRQ,11354,1442,12.70,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,rounding_error,JO,AMM,32762,414,1.26,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,rounding_error,JO,IRB,6544,56,0.86,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,rounding_error,JO,Others,1232,21,1.70,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,rounding_error,JO,Total,51892,601,1.16,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,rounding_error,JO,ZRQ,11354,110,0.97,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,spillover_recovery,JO,AMM,32762,564,1.72,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,spillover_recovery,JO,IRB,6544,94,1.44,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,spillover_recovery,JO,Others,1232,3,0.24,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,spillover_recovery,JO,Total,51892,705,1.36,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,spillover_recovery,JO,ZRQ,11354,44,0.39,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surcharge_mismatch,JO,AMM,32762,13,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surcharge_mismatch,JO,IRB,6544,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surcharge_mismatch,JO,Others,1232,1,0.08,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surcharge_mismatch,JO,Total,51892,23,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surcharge_mismatch,JO,ZRQ,11354,9,0.08,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surge_mismatch,JO,AMM,32762,2,0.01,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surge_mismatch,JO,IRB,6544,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surge_mismatch,JO,Others,1232,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surge_mismatch,JO,Total,51892,2,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,CHANNEL,surge_mismatch,JO,ZRQ,11354,0,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-28,DISCOUNT,cap_bound_total__absorption,JO,Total,1,1,-0.87,2026-09-07 09:14:54.546 +0300,,
2026-08-28,DISCOUNT,cap_bound_total__gross_shock,JO,Total,10323,2123,20.57,2026-09-07 09:14:54.546 +0300,1281,1
2026-08-28,DISCOUNT,cap_bound_total__net_shock,JO,Total,10323,2158,20.90,2026-09-07 09:14:54.546 +0300,1292,0
2026-08-28,DISCOUNT,cap_bound_total__ride_share,JO,Total,51892,10323,19.89,2026-09-07 09:14:54.546 +0300,,
