RIDEID,CREATED,UPFRONTSCENARIO,DROPOFFATDESTINATION,FINALRIDEFARE,RECALCULATEDDISTANCE,RECALCULATEDTIME,RECALCULATEDFARE,UPFRONTENABLED,APPLIEDESTIMATETIME,APPLIEDESTIMATEDISTANCE,APPLIEDESTIMATEFARE,TAXIMETERTIME,TAXIMETERDISTANCE,TAXIMETERFARE,ORIGINALESTIMATETIME,ORIGINALESTIMATEDISTANCE,ORIGINALESTIMATEFARE,CHARGINGDISTANCESOURCE,CHARGINGDISTANCE,CHARGINGTIMESOURCE,CHARGINGTIME,ADDITIONALTIMECOMP,TAXIMETERFORMULA,TAXIMETERCASE,CHARGINGFARE,ADDITIONALTIMEVALUE,TAXIMETERSTATE,FACTORFORADDITIONALTIME,SPEEDPARAMETERX,MAXSPEED,ESTIMATEDSPEED,ACTUALSPEED,ACTUALTIME,SCALEDDISTANCE,TIMETHRESHHOLDSALOWPERCENTAGE,TIMETHRESHHOLDSAHIGHPERCENTAGE,TIMETHRESHHOLDSALOWVALUE,TIMETHRESHHOLDSAHIGHVALUE,TIMETHRESHHOLDSBLOWPERCENTAGE,TIMETHRESHHOLDSBHIGHPERCENTAGE,TIMETHRESHHOLDSBLOWVALUE,TIMETHRESHHOLDSBHIGHVALUE,KALMANDISTANCE,APPLIEDFIXEDTIMETHRESHOLDAPPLIED,APPLIEDFIXEDTIMETHRESHOLDVALUE,FIXEDSPEEDCAP,MAXWITHINMINUTESVARIANCE
6a4fd169b0e119efe899f480,2026-07-09 19:50:49.726,withinA,true,3.75,11.529,17.8,3.75,True,17.8,11.529,3.75,15.616666667,10.74134,3.91,17.8,11.529,3.75,applied_estimate,11.529,applied_estimate,17.8,0,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,3.75,0,withinA,0.071,30,120,38.862,41.26874,15.616666667,0.00,100,22,0,1302,0,999999,1068,10681057,0,FALSE,0,30,3
6a4fc752c737923ca9851e25,2026-07-09 19:07:46.672,withinA,true,4,12.37,20.5,4,True,20.5,12.37,4,20.6,11.93079,4.3,20.5,12.37,4,applied_estimate,12.37,applied_estimate,20.5,0,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,4,0,withinA,0.071,30,120,36.2046,34.74986,20.6,0.00,100,22,0,1500,0,999999,1230,12301217,0,FALSE,0,30,3
6a4f99e8c737923ca9433418,2026-07-09 15:54:00.484,withinB,true,29.87,15.209,29.116666667,29.87,True,29.116667,15.209,24.92,36.183333333,14.93313,29.16,29.116666667,15.209,24.92,applied_estimate,15.209,applied_estimate,29.116666667,7.07,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",ad_less_ed,29.87,4.77,withinB,0.675,30,120,31.341,24.76245,36.183333333,0.00,100,22,0,2131,0,999999,1747,17471729,0,FALSE,0,41,3
6a5b8b73086b15be44f26902,2026-07-18 17:19:31.084,withinA,true,13.73,11.929,16.383333333,13.73,True,16.383333,11.929,13.73,12.5,9.45373,14.34,16.383333333,11.929,13.73,applied_estimate,11.929,applied_estimate,16.383333333,0,"max(7.16,0.870*(0.21*durationInMinute+0.815*distanceInKm+4))",applied_estimate,13.73,0,withinA,0.575,30,120,43.6872,45.3779,12.5,0.00,100,16,0,1140,0,999999,983,9830973,0,FALSE,0,43,3
6a4d49514407f7fd1e8d5665,2026-07-07 21:45:37.020,withinA,true,50.53,37.508,43.683333333,50.53,True,43.683333,37.508,50.53,46.5,33.95848,53.13,43.683333333,37.508,50.53,applied_estimate,37.508,applied_estimate,43.683333333,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,50.53,0,withinA,0.675,30,120,51.5178,43.81739,46.5,0.00,100,22,0,3197,0,999999,2621,26212594,0,FALSE,0,41,3
6a579986cd1f13068c5f5719,2026-07-15 17:30:30.329,withinA,true,20.63,11.839,23.833333333,20.63,True,23.833333,11.839,20.63,21.65,11.79397,22.15,23.833333333,11.839,20.63,applied_estimate,11.839,applied_estimate,23.833333333,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,20.63,0,withinA,0.675,30,120,29.8044,32.68536,21.65,0.00,100,22,0,1744,0,999999,1430,14301415,0,FALSE,0,41,3
6a4551df57e084f58ba531be,2026-07-01 20:43:59.184,withinA,true,19,13.706,13.266666667,19,True,13.266667,13.706,19,13.166666667,13.43367,18.64,13.266666667,13.706,19,applied_estimate,13.706,applied_estimate,13.266666667,0,"max(8.07,0.873*(0.225*durationInMinute+1.03*distanceInKm+3.92))",applied_estimate,19,0,withinA,0.575,30,120,61.9872,61.21673,13.166666667,0.00,100,18,0,939,0,999999,796,7960788,0,FALSE,0,46,3
6a45475657e084f58b969d80,2026-07-01 19:59:02.589,withinB,false,29.37,13.7345205,13.6,29.37,True,13.6,12.04,20.14,24.45,13.73452,24.33,13.116666667,8.153,15.87,taximeter_distance,13.7345205,applied_estimate,13.6,10.85,"max(8.07,0.873*(0.225*durationInMinute+1.03*distanceInKm+3.92))",speed_in_limit,29.37,6.24,withinB,0.575,30,120,53.1174,33.70434,24.45,0.00,100,18,0,962,0,999999,816,8160807,0,FALSE,0,46,3
6a4b455fc5d6742eb773d99f,2026-07-06 09:04:15.058,withinA,true,1.42,3.79,8.733333333,1.42,True,8.733333,3.79,1.42,7.8,3.72941,1.74,8.733333333,3.79,1.42,applied_estimate,3.79,applied_estimate,8.733333333,0,"max(1.2,1.234*(0.4+(0.04*durationInMinute)+(0.14*distanceInKm)))",applied_estimate,1.42,0,withinA,0.07,30,120,26.0382,28.68781,7.8,0.00,100,21,0,634,0,999999,524,5240518,0,FALSE,0,29,3
6a4a9b3f7ef6256af776e9e0,2026-07-05 20:58:23.822,withinA,true,14.15,6.827,13.333333333,14.15,True,13.333333,6.827,14.15,13.766666667,6.73807,15.76,13.333333333,6.827,14.15,applied_estimate,6.827,applied_estimate,13.333333333,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,14.15,0,withinA,0.675,30,120,30.7218,29.36687,13.766666667,0.00,100,22,0,976,0,999999,800,8000792,0,FALSE,0,41,3
